hour,day,month,pm25,pm10,co,no2,so2,o3,nh3,aqi_change_rate
10,7,6,14.92,77.64,78.21,0.03,0.19,46.91,0.0,-1.8500000000000012
18,17,6,32.74,146.21,82.16,0.08,0.43,48.6,0.0,-0.6300000000000097
12,18,7,19.59,78.33,76.63,0.06,0.24,38.3,0.0,-1.0999999999999943
0,23,7,14.35,52.64,82.5,0.08,0.29,47.89,0.0,0.0799999999999983
23,14,7,25.29,105.23,78.9,0.1,0.51,42.48,0.0,0.6099999999999994
18,4,7,32.82,123.95,80.13,0.1,0.33,53.13,0.0,0.25
5,22,7,14.89,56.07,72.41,0.06,0.26,50.46,0.0,0.2999999999999971
16,1,8,23.78,100.2,79.83,0.09,0.43,44.45,0.0,2.25
14,30,6,22.04,100.86,70.71,0.1,0.48,40.52,0.0,-2.3999999999999915
10,8,6,11.59,54.12,80.41,0.03,0.19,53.57,0.0,-1.3400000000000034
3,23,6,33.97,148.5,78.64,0.09,0.51,51.86,0.0,-0.4200000000000017
2,26,7,30.01,107.48,73.1,0.08,0.43,52.77,0.0,-1.5600000000000025
22,26,7,36.78,176.41,70.22,0.09,0.64,50.22,0.0,-2.219999999999999
1,1,8,27.56,126.12,75.87,0.1,0.52,45.35,0.0,-3.280000000000001
7,14,7,27.66,112.91,79.4,0.05,0.37,45.5,0.0,1.0100000000000051
0,16,6,27.03,123.09,81.49,0.08,0.38,57.98,0.0,0.0
23,27,7,30.37,158.1,70.06,0.1,0.61,44.71,0.0,-1.2199999999999989
23,20,7,28.78,134.18,74.34,0.09,0.41,46.8,0.0,1.2399999999999949
8,15,6,24.32,105.2,76.96,0.07,0.53,47.05,0.0,0.2300000000000039
6,3,7,17.3,70.87,73.18,0.09,0.31,42.89,0.0,-0.3700000000000045
14,22,6,29.42,138.57,77.74,0.1,0.48,51.29,0.0,-1.3100000000000025
12,28,6,9.1,13.17,80.26,0.08,0.15,63.45,0.01,-2.289999999999999
7,10,7,24.27,114.96,74.04,0.06,0.51,45.99,0.0,-0.5900000000000034
11,13,7,20.81,83.18,78.54,0.06,0.28,39.43,0.0,0.0899999999999892
14,18,7,19.05,79.32,76.89,0.08,0.24,39.03,0.0,-0.4399999999999977
22,21,7,17.82,74.18,74.12,0.08,0.32,51.08,0.0,0.0200000000000031
1,11,6,11.69,46.47,77.99,0.05,0.24,47.9,0.0,-0.8699999999999974
15,4,7,31.52,107.64,78.89,0.1,0.25,50.75,0.06,2.460000000000008
12,23,6,33.87,151.62,82.21,0.07,0.48,54.71,0.0,0.3599999999999994
20,17,7,20.08,91.95,79.64,0.07,0.34,42.17,0.0,-0.4000000000000057
6,8,7,37.7,152.19,76.89,0.07,0.5,52.29,0.0,-2.3400000000000034
10,14,7,27.18,116.05,77.35,0.05,0.39,42.53,0.0,-0.6800000000000068
5,30,7,31.33,156.94,69.18,0.07,0.7,50.06,0.0,-0.269999999999996
20,23,6,32.94,142.26,77.51,0.12,0.57,48.74,0.0,1.3499999999999943
18,13,6,16.59,75.35,75.06,0.1,0.51,41.4,0.0,1.4299999999999995
21,7,7,40.9,168.68,82.89,0.1,0.54,55.38,0.0,1.75
11,17,6,37.07,148.52,82.9,0.05,0.33,45.52,0.0,-0.289999999999992
7,16,6,29.42,126.72,82.52,0.08,0.27,53.38,0.0,0.730000000000004
6,3,6,51.71,234.44,97.01,0.05,0.46,77.24,0.0,0.1899999999999977
22,31,7,31.64,147.13,76.95,0.1,0.5,45.1,0.0,-1.3699999999999903
19,24,6,37.65,148.19,82.58,0.1,0.59,53.56,0.0,3.5900000000000034
22,13,6,19.34,83.55,77.62,0.11,0.51,44.89,0.0,1.2700000000000102
13,9,7,31.08,164.29,75.51,0.07,0.5,44.32,0.0,-1.7600000000000051
13,5,6,11.03,52.78,74.57,0.04,0.22,47.8,0.0,-3.0799999999999983
13,3,7,19.37,80.38,70.46,0.1,0.35,42.27,0.0,0.7200000000000131
4,27,7,30.22,151.04,69.03,0.09,0.59,49.92,0.0,-2.519999999999996
4,5,6,20.81,86.25,78.05,0.06,0.33,55.9,0.0,-1.7000000000000028
20,8,7,28.86,123.73,73.17,0.13,0.54,49.06,0.0,2.269999999999996
0,29,6,9.74,12.07,74.34,0.1,0.16,48.32,0.0,-1.0500000000000045
8,28,7,26.81,134.36,69.45,0.08,0.64,45.24,0.0,-1.3799999999999957
0,12,6,9.33,37.52,74.4,0.06,0.32,40.94,0.0,0.8800000000000026
19,31,7,31.95,145.2,75.13,0.1,0.51,45.21,0.0,0.9399999999999976
6,13,6,14.12,62.73,76.28,0.06,0.46,43.8,0.0,1.3699999999999974
2,23,6,34.17,149.08,78.67,0.1,0.51,51.5,0.0,-0.6599999999999966
21,30,7,36.24,158.39,72.35,0.11,0.69,44.89,0.0,-5.200000000000003
5,30,6,23.59,109.91,68.82,0.1,0.57,41.67,0.0,2.9399999999999977
18,19,7,14.0,57.18,87.81,0.09,0.36,43.05,0.0,0.5300000000000011
14,16,6,34.91,161.67,84.14,0.08,0.24,54.21,0.0,2.9399999999999977
20,12,6,9.63,43.41,71.18,0.08,0.41,36.42,0.0,1.4200000000000017
23,30,7,32.93,150.18,71.99,0.11,0.67,45.46,0.0,-3.3599999999999994
15,27,7,34.41,174.17,73.55,0.1,0.56,50.82,0.0,2.2900000000000063
5,6,6,12.17,61.97,78.8,0.04,0.2,56.74,0.0,2.3999999999999986
13,14,6,23.98,111.85,76.77,0.08,0.47,46.96,0.0,0.3500000000000085
2,13,6,12.19,54.66,74.81,0.09,0.43,41.52,0.0,2.1499999999999986
22,23,6,32.64,140.9,78.81,0.12,0.54,50.97,0.0,-0.9599999999999936
18,6,7,36.17,176.61,72.46,0.12,0.61,49.72,0.0,7.13000000000001
15,1,7,21.49,96.48,73.72,0.1,0.43,44.28,0.0,0.8700000000000045
17,15,6,26.61,107.75,78.67,0.11,0.43,48.33,0.0,-0.3199999999999932
1,8,6,10.45,52.1,79.53,0.04,0.2,56.54,0.0,2.460000000000001
5,6,7,33.36,163.76,70.66,0.09,0.59,53.07,0.0,-5.810000000000002
5,9,7,31.75,164.02,73.64,0.08,0.52,47.44,0.0,-0.3600000000000136
3,9,7,32.39,173.44,73.38,0.11,0.56,47.94,0.0,-0.9299999999999926
